hour,max_gas_price,median_gas_price,min_gas_price,p25_gas_price,p75_gas_price
2025-02-07 00:00:00.000 UTC,100000000000,2087721043.9870927,829953310,1212211747.4714382,2559251838.711718
2025-02-06 23:00:00.000 UTC,7790978309600,1988637472.3907504,796984625,1169767405.1479425,2514532451.422646
2025-02-06 22:00:00.000 UTC,7401058881139,1984485271.8782382,783081262,1161243680.9208553,2509983766.199232
2025-02-06 21:00:00.000 UTC,6950000000000,1987877497.6812434,813622918,1153705540.3351572,2506923311.2103057
2025-02-06 20:00:00.000 UTC,914283572552,1928349844.8015077,719133667,1134469143.3796556,2515543637.136824
2025-02-06 19:00:00.000 UTC,16158933576174,2250859414.4333425,776110052,1448885519.5199642,2783659242.724739
2025-02-06 18:00:00.000 UTC,3890000000000,19844205288.527584,1885555858,6922982574.445981,54052118046.31263
2025-02-06 17:00:00.000 UTC,2645114266440,56443908438.93448,26359355646,43036172111.298096,84116611680.0511
2025-02-06 16:00:00.000 UTC,4787725261680,181808005463.2223,124645434575,170182828834.9565,193831351918.63422
2025-02-06 15:00:00.000 UTC,4448244701220,213446452572.40436,79259621516,186087643115.07477,228867555705.83502
2025-02-06 14:00:00.000 UTC,7207523446350,84562639669.53328,51219836135,75463010205.99156,119251348985.4336
2025-02-06 13:00:00.000 UTC,3187308181800,142480307125.34735,94066407670,120556658120.31787,166366172491.14297
2025-02-06 12:00:00.000 UTC,4410619289861,32148317112.9796,8696776992,13724515215.696777,78435376406.97972
2025-02-06 11:00:00.000 UTC,2789353370670,24995788684.456978,10185061950,16565111922.169744,45936113020.29884
2025-02-06 10:00:00.000 UTC,5070006361020,116054562926.8044,46922444021,92705731235.87474,160343005880.2071
2025-02-06 09:00:00.000 UTC,3685499888640,79161826914.98273,50669799414,65529453939.603294,108697383488.03488
2025-02-06 08:00:00.000 UTC,16596627510100,152600477616.9707,94272487640,123929336988.97217,180258417741.87424
2025-02-06 07:00:00.000 UTC,5397431022090,209313563362.70486,121153653293,184059643791.37137,226160579664.10797
2025-02-06 06:00:00.000 UTC,1760975835010,142452250421.232,16227776679,52995721702.70751,176720042483.06372
2025-02-06 05:00:00.000 UTC,1284366114100,12461125318.998037,2073662885,9093273511.497925,16362850430.6694
2025-02-06 04:00:00.000 UTC,300000000000,2626192459.131695,921879598,1991853071.1733294,3431919028.8045683
2025-02-06 03:00:00.000 UTC,300000000000,2724845308.731328,1033747114,1979492678.5309196,3201692379.3600492
2025-02-06 02:00:00.000 UTC,201056451432,2388599419.6801176,955068260,1673999117.3879695,2981940255.646547
2025-02-06 01:00:00.000 UTC,1000000000000,2100981557.305424,826258065,1222573507.5068398,2545729279.570081
2025-02-06 00:00:00.000 UTC,200000000000,2051332633.2887502,799092830,1168398547.520854,2521227655.9378233
